Index,Drug Name,Status,Pharmacopoeia,Clinical phase,Marked,Target,Pathway,Information,M.w.,CAS Number,DMSO (mg/mL)Max Solubility,DMSO (mM)Max Solubility,water (mg/mL)Max Solubility,water (mM)Max Solubility,URL,Formula,Form,Synonyms,SMILES,ALogP
1,Veliparib (ABT-888),,,Phase 3,1,PARP,DNA Damage,"Veliparib (ABT-888) is a potent inhibitor of PARP1 and PARP2 with Ki of 5.2 nM and 2.9 nM in cell-free assays, respectively. It is inactive to SIRT2. Phase 3.",244.29,912444-00-9,17.0,69.59,<1,,http://selleckchem.com/products/ABT-888.html,C13H16N4O,free base,NSC 737664,CC1(CCCN1)C2=NC3=C(C=CC=C3[NH]2)C(N)=O,0.986
2,Axitinib,"FDA,DMF,EMA,NDC,PMDA",Martindale:The Extra Pharmacopoeia,Marketed,0,"c-Kit,PDGFR,VEGFR",Protein Tyrosine Kinase,"Axitinib is a multi-target inhibitor of VEGFR1, VEGFR2, VEGFR3, PDGFRβ and c-Kit with IC50 of 0.1 nM, 0.2 nM, 0.1-0.3 nM, 1.6 nM and 1.7 nM in Porcine aorta endothelial cells, respectively.",386.47,319460-85-0,35.0,90.56,<1,,http://selleckchem.com/products/Axitinib.html,C22H18N4OS,free base,AG 013736,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=N[NH]3)\C=C\C4=CC=CC=N4,4.492
3,Saracatinib (AZD0530),,,Phase 2,0,Src,Angiogenesis,"Saracatinib (AZD0530) is a potent Src inhibitor with IC50 of 2.7 nM in cell-free assays, and potent to c-Yes, Fyn, Lyn, Blk, Fgr and Lck less active for Abl and EGFR (L858R and L861Q). Phase 2/3.",542.03,379231-04-6,35.0,64.57,<1,,http://selleckchem.com/products/AZD0530.html,C27H32ClN5O5,free base,,CN1CCN(CCOC2=CC(=C3C(=NC=NC3=C2)NC4=C(Cl)C=CC5=C4OCO5)OC6CCOCC6)CC1,3.814
4,Roxadustat (FG-4592),CFDA,,Registered,0,HIF,Angiogenesis,"Roxadustat (FG-4592) is an HIF-α prolyl hydroxylase inhibitor in a cell-free assay, stabilizes HIF-2 and induces EPO production. Phase 3.",352.34,808118-40-3,70.0,198.67,<1,,http://selleckchem.com/products/fg-4592.html,C19H16N2O5,free base,ASP1517,CC1=NC(=C(O)C2=C1C=C(OC3=CC=CC=C3)C=C2)C(=O)NCC(O)=O,2.306
5,Selumetinib (AZD6244),,,Phase 2,0,MEK,MAPK,"Selumetinib (AZD6244) is a potent, highly selective MEK inhibitor with IC50 of 14 nM for MEK1 and Kd value of 530 nM for MEK2. It  also inhibits ERK1/2 phosphorylation with IC50 of 10 nM, no inhibition to p38α, MKK6, EGFR, ErbB2, ERK2, B-Raf, etc. Phase 3.",457.68,606143-52-6,91.0,198.83,<1,,http://selleckchem.com/products/AZD6244.html,C17H15BrClFN4O3,free base,ARRY-142886,C[N]1C=NC2=C(F)C(=C(C=C12)C(=O)NOCCO)NC3=CC=C(Br)C=C3Cl,3.234
6,Nintedanib (BIBF 1120),"FDA,DMF,EMA,NDC,PMDA",,Marketed,0,"FGFR,PDGFR,VEGFR",Protein Tyrosine Kinase,"Nintedanib (BIBF 1120) is a potent triple angiokinase inhibitor for VEGFR1/2/3, FGFR1/2/3 and PDGFRα/β with IC50 of 34 nM/13 nM/13 nM, 69 nM/37 nM/108 nM and 59 nM/65 nM in cell-free assays. Phase 3.",539.62,656247-17-5,6.0,11.12,<1,,http://selleckchem.com/products/BIBF1120.html,C31H33N5O4,free base,Intedanib,COC(=O)C1=CC=C\2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)N(C)C(=O)CN4CCN(C)CC4)/C5=CC=CC=C5,2.965
7,Afatinib (BIBW2992),"FDA,DMF,EMA,NDC,PMDA",,Marketed,0,"EGFR,HER2",Protein Tyrosine Kinase,"Afatinib (BIBW2992) inhibits EGFR/ErbB irreversibly in vitro with IC50 of 0.5, 0.4, 10, 14, 1 nM for EGFRwt, EGFR L858R , EGFR L858R/T790M ErbB2 (HER2) and ErbB4 (HER4), respectively.",485.94,439081-18-2,97.0,199.61,<1,,http://selleckchem.com/products/BIBW2992.html,C24H25ClFN5O3,Free Base,,CN(C)C/C=C/C(=O)NC1=CC2=C(NC3=CC=C(F)C(=C3)Cl)N=CN=C2C=C1OC4CCOC4,3.917
8,Bortezomib (PS-341),"FDA,DMF,EMA,HMA,NDC,PMDA",USP;Martindale:The Extra Pharmacopoeia,Marketed,0,Proteasome,Proteases,Bortezomib (PS-341) is a potent 20S proteasome inhibitor with Ki of 0.6 nM. It exhibits favorable selectivity towards tumor cells over normal cells.,384.24,179324-69-7,76.0,197.79,<1,,http://selleckchem.com/products/Bortezomib.html,C19H25BN4O4,Free Base,"LDP-341, MLM341",CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)B(O)O,2.183
9,Bosutinib (SKI-606),"FDA,DMF,EMA,NDC,PMDA",,Marketed,0,Src,Angiogenesis,"Bosutinib (SKI-606) is a novel, dual Src/Abl inhibitor with IC50 of 1.2 nM and 1 nM in cell-free assays, respectively.",530.45,380843-75-4,100.0,188.52,<1,,http://selleckchem.com/products/Bosutinib.html,C26H29Cl2N5O3,free base,,COC1=C(Cl)C=C(Cl)C(=C1)NC2=C(C=NC3=CC(=C(OC)C=C23)OCCCN4CCN(C)CC4)C#N,4.883
10,Cediranib (AZD2171),,,Phase 3,0,VEGFR,Protein Tyrosine Kinase,"Cediranib (AZD2171) is a highly potent VEGFR(KDR) inhibitor with IC50 of <1 nM, also inhibits Flt1/4 with IC50 of 5 nM/≤3 nM, similar activity against c-Kit and PDGFRβ, 36-, 110-fold and >1000-fold selective more for VEGFR than PDGFR-α, CSF-1R and Flt3 in HUVEC cells. Phase 3.",450.51,288383-20-0,90.0,199.77,<1,,http://selleckchem.com/products/Cediranib.html,C25H27FN4O3,free base,NSC-732208,COC1=C(OCCCN2CCCC2)C=C3N=CN=C(OC4=C(F)C5=C([NH]C(=C5)C)C=C4)C3=C1,4.761
